MeSH ID	Class List
D007012	1
D007018	3|2
D007027	2
D007029	3|1|2
D002534	2
D051793	2
D051795	2
D020672	3
D007052	3|2
D015255	2
D051740	3|2
D007078	1
D017543	1
D018796	3|2
D016756	2
D007157	2
D018189	2
D016219	2
D000922	2
D020287	2
D007177	2
D016496	1
D054795	2
D007226	1|2|3
D058922	1
D015192	3|1|2
D007260	3|2
D015918	3
D007261	3|2
D051034	1|2|3
D051798	3|2
D015601	2
D007328	3|1|2
D007329	3|1|2
D007330	3|1|2
D007331	3|1|2
D007332	1
D055504	1
D007333	1
D049528	1
D007336	1
D018970	1
D018971	1
D018972	1
D018974	1
D018975	1
D018976	1
D018969	1
D007334	1
D007335	1
D050417	1
D007340	1
D007339	2
D007352	2
D039121	2
D039161	2
D039302	3|2
D015380	2
D015381	2
D020659	2
D015379	2
D015382	2
D038801	2
D055959	2
D007412	2
D007414	3|1|2
D044483	3|2
D002532	1
D002537	1
D002538	2
D020299	2
D019586	2
D020767	3|2
D057129	2
D015811	3|1|2
D007510	3|2
D058228	1
D007515	2
D007547	2
D048031	2
D007570	2
D007573	3|1|2
D007580	3|1|2
D016916	2
D019169	2
D020014	3|2
D007624	2
D051861	3|2
D053208	2
D017567	3|2
D028884	2
D007636	2
D007638	2
D055623	2
D017492	3
D007660	3|2
D007662	3|2
D019394	2
D007673	2
D007680	3|1|2
D007681	2
D015979	2
D017882	2
D007708	1
D018285	3|1|2
D020232	3|2
D020915	2
D007725	3|1|2
D007729	2
D007772	2
D020192	2
D029321	2
D007797	2
D054752	1
D046150	2
D007822	3|1|2
D047569	2
D020227	3|2
D007889	2
D018230	2
D007890	3|1|2
D018152	2
D007926	2
D007938	2|3|1
D053605	2|3|1
D053680	3|1|2
D007939	3|1
D007940	3|1|2
D007941	3|1|2
D001909	3|1|2
D005256	3|1|2
D017989	3|1|2
D009052	3|1|2
D015448	3|1
D015471	3|1|2
D015456	3|1|2
D015472	3|1|2
D004915	3|1|2
D007942	3|1|2
D016582	3|1|2
D007943	3|1|2
D054066	3|1
D015451	3|1|2
D007945	3|1|2
D007946	2|3|1
D007947	3|1|2
D007948	3|1|2
D015464	3|1|2
D007951	3|1|2
D015465	3|1|2
D015470	3|1|2
D054438	3|1|2
D015466	3|1|2
D015479	3|1|2
D015477	3|1
D054429	3|1|2
D015467	3|1
D007952	3|1
D015463	3|1|2
D054403	3|1|2
D015461	2|3|1
D015473	3|1|2
D007953	3|1|2
D015458	3|1
D015459	3|1
D017254	3|1|2
D007955	3|2
D049292	3
D007957	2
D039841	2
D007968	2
D053529	2
D007969	2
D007971	2
D018921	2
D007978	2
D002040	2
D007980	2
D016631	2
D020961	2
D007984	3|1|2
D016864	3|2
D008017	1|3
D015993	2|3
D008028	3|2
D015168	2
D017705	2
D023821	2
D020363	2
D008032	2
D001556	2
D008048	1
D008053	2
D052497	2
D008062	3
D008067	3|2
D008068	2
D008075	3
D053439	3
D053440	3
D008077	3
D008079	3
D008080	3|1|2
D018208	3|1|2
D008113	3|1|2
D008114	3|1|2
D008115	1
D016840	2
D055947	2
D008130	3|2
D008136	1|3
D008137	3
D058247	2
D019656	3
D057066	1
D008175	3|1|2
D016682	2
D018311	3|2
D008193	2
D008197	2
D008202	2
D008203	2
D008204	3|1|2
D015182	3|2
D008207	3|2
D018190	3|1|2
D016246	1
D008216	2
D008223	2
D016483	3|2
D016393	3|2
D018442	3
D054391	3|2
D008224	3|2
D016403	3
D017728	3
D016400	3
D020522	3
D008228	3|2
D054446	3|2
D054685	3|2
D016399	3|2
D016410	3
D016411	3
D017731	3
D053259	2
D008233	3|2
D053308	3|2
D055847	2
D008235	2
D008236	2
D048369	3
D048370	3
D048371	3
D048670	3
D048671	3
D048669	3
D048688	3
D048728	3
D048730	3|2
D048748	3
D048768	3
D048848	2|3
D020930	3
D020935	3
D017241	2
D020267	2
D008260	2
D055501	3|2
D016173	2
D016215	2
D008268	3|1
D050977	3
D051473	3
D050978	3
D051258	3
D051260	3
D051259	3
D050985	3
D054220	2
D008303	3|2
D015674	3|1|2
D008325	3|1|2
D008324	1
D008327	3
D008339	3|1|2
D020149	2
D008357	2
D054319	2
D008380	2
D047508	2
D012515	3|1|2
D008408	3
D015410	3
D015411	3
D015409	3
D015412	3|2
D015413	3
D015414	3
D034801	3|2
D054705	3
D008415	2
D008428	1
D053507	3|2
D020783	2
D008441	3|1|2
D008444	3|1|2
D020714	2|3
D008466	2
D008479	3|1|2
D008495	2
D054539	2
D008524	3
D017258	3|2
D008527	3|2
D008535	3|2
D019290	3|2
D008539	2
D008543	3
D053486	3
D009074	3
D008544	3
D008545	3|2
D018328	3
D008546	3|2
D008548	3
D020460	3
D052717	3
D008550	3
D057665	2
D008558	3|2
D008559	3|2
D008567	2
D008569	3
D008570	3
D055756	3|2
D008577	3|1|2
D008579	3|2
D008581	2
D008582	2
D008591	2
D017290	3|2
D008593	3|1|2
D008594	3|1|2
D008637	3|2
D008639	3|2
D008641	2
D015080	2
D008649	3|2
D008651	2
D008654	2
D018261	2
D050216	2
D024821	2
D008687	2
D008704	2
D008727	2
D008741	3|2
D008748	3|2
D008749	3
D008753	2
D008777	3|2
D014290	2
D015741	3|2
D016688	2
D018632	2
D008819	2
D008820	2
D051739	3
D017566	2
D008874	2
D008875	3
D008898	3|2
D008908	2
D016747	2
D016744	2
D008915	2
D008917	3
