MeSH ID	Class List
D016864	3|2
D008017	1|3
D015993	2|3
D008028	3|2
D008048	1
D008062	3
D008067	3|2
D008075	3
D053439	3
D053440	3
D008077	3
D008079	3
D008080	3|1|2
D018208	3|1|2
D008113	3|1|2
D008114	3|1|2
D008115	1
D008130	3|2
D008136	1|3
D008137	3
D019656	3
D057066	1
D008175	3|1|2
D018311	3|2
D008204	3|1|2
D015182	3|2
D008207	3|2
D018190	3|1|2
D016246	1
D016483	3|2
D016393	3|2
D018442	3
D054391	3|2
D008224	3|2
D016403	3
D017728	3
D016400	3
D020522	3
D008228	3|2
D054446	3|2
D054685	3|2
D016399	3|2
D016410	3
D016411	3
D017731	3
D008233	3|2
D053308	3|2
D048369	3
D048370	3
D048371	3
D048670	3
D048671	3
D048669	3
D048688	3
D048728	3
D048730	3|2
D048748	3
D048768	3
D048848	2|3
D020930	3
D020935	3
D055501	3|2
D008268	3|1
D050977	3
D051473	3
D050978	3
D051258	3
D051260	3
D051259	3
D050985	3
D008303	3|2
D015674	3|1|2
D008325	3|1|2
D008324	1
D008327	3
D008339	3|1|2
D012515	3|1|2
D008408	3
D015410	3
D015411	3
D015409	3
D015412	3|2
D015413	3
D015414	3
D034801	3|2
D054705	3
D008428	1
D053507	3|2
D008441	3|1|2
D008444	3|1|2
D020714	2|3
D008479	3|1|2
D008524	3
D017258	3|2
D008527	3|2
D008535	3|2
D019290	3|2
D008543	3
D053486	3
D009074	3
D008544	3
D008545	3|2
D018328	3
D008546	3|2
D008548	3
D020460	3
D052717	3
D008550	3
D008558	3|2
D008559	3|2
D008569	3
D008570	3
D055756	3|2
D008577	3|1|2
D008579	3|2
D017290	3|2
D008593	3|1|2
D008594	3|1|2
D008637	3|2
D008639	3|2
D008649	3|2
D008741	3|2
D008748	3|2
D008749	3
D008777	3|2
D015741	3|2
D051739	3
D008875	3
D008898	3|2
D008917	3
D008927	3|2
D048057	2|3
D048292	2|3
D048308	2|3
D048054	3
D048055	3
D048056	3
D020928	3
D008935	3|2
D008936	3|2
D016685	3|2
D008937	3|2
D008942	3|2
D018198	3|1|2
D018199	3|1|2
D018200	3|1|2
D008979	1
D008980	1
D016260	3|2
D009012	3|2
D009026	1
D009062	3|1|2
D018298	3|1|2
D055653	3|2
D009377	3|2
D018761	3|2
D018813	3
D018814	3|2
D009101	3
D009103	1
D020528	1
D020529	1
D019042	3|1|2
D051719	3
D051718	3
D017590	3|2
D009187	3|2
D051788	3|1|2
D018209	3|2
D047708	3|2
D018224	3
D009214	3|2
D009217	1
D009232	3|2
D009236	1
D051267	3
D055655	3|2
D054778	2|3
D009256	3|2
D009288	3|2
D009298	3|2
D009303	1
D054547	3|1|2
D054580	1
D054586	1
D055825	1
D054561	1|2|3
D009336	2|3
D009361	3|1|2
D009362	3|1|2
